seed,dynamic_auc,dynamic_recovered,dynamic_recovery_steps,uncoupled_auc,uncoupled_recovered,uncoupled_recovery_steps,matched_fixed_auc,matched_fixed_recovered,matched_fixed_recovery_steps,shuffled_schedule_auc,shuffled_schedule_recovered,shuffled_schedule_recovery_steps,repulsive_auc,repulsive_recovered,repulsive_recovery_steps,dynamic_dt_noise_auc,dynamic_dt_noise_recovered,dynamic_dt_noise_recovery_steps,observed_correlation,surrogate_correlation
79,0.8898654145609634,true,94,-0.039940169550754565,false,,0.9154907034947396,true,81,0.9131878405000625,true,82,-0.6209275334570269,false,,0.8900785802543839,true,97,0.04011507952941913,0.017386775831873282
80,0.8733983622566529,true,128,-0.07811591861351634,false,,0.911065923458707,true,96,0.9131557749254762,true,95,-0.6295852091287659,false,,0.8890850091555298,true,116,0.0036305909735791088,0.016117914413050632
81,0.8874434708413101,true,113,-0.0450214472424897,false,,0.9167551054087612,true,87,0.9180130496765556,true,84,-0.6374256098539405,false,,0.8971051979956983,true,108,-0.0815125796681832,-0.0642306824712324
82,0.9049506465355475,true,108,0.024333586781395432,false,,0.9252514443360402,true,88,0.9246354186343626,true,88,-0.609534969798856,false,,0.9105625287033166,true,101,-0.013545132045820765,0.005384006826207788
83,0.9545549921371801,true,66,0.3626543979160978,false,,0.9576983387236209,true,63,0.9577190843395421,true,63,-0.5649500617177923,false,,0.9559039167645572,true,65,0.03145252133328185,0.07216444503587499
84,0.9362219256967149,true,70,0.14459898392590997,false,,0.9435469431164825,true,66,0.9436164214319503,true,66,-0.6069232802684164,false,,0.9394012736154329,true,68,-0.09740534208418869,-0.03825669890475553
85,0.9191188494287843,true,84,0.014653306164254636,false,,0.9321508701563007,true,75,0.9323041758870598,true,75,-0.6236837805825399,false,,0.9212800458401983,true,81,0.0012795960705232568,-0.009330366240908352
86,0.9288761500400547,true,81,0.15773358574624616,false,,0.9380850394257272,true,74,0.9382419243772436,true,74,-0.6001322702023189,false,,0.9328548878399245,true,80,0.04329717664477822,-0.007437897677117772
87,0.9267375815362183,true,76,0.12825149977539063,false,,0.9370802792435083,true,69,0.9369998912448656,true,68,-0.6039577657899415,false,,0.9283512316214347,true,77,0.02037277886597377,0.004698730940990858
88,0.9226411570088143,true,92,0.2525374101121309,false,,0.936269385701587,true,79,0.936117819054145,true,79,-0.5560752466805677,false,,0.9238263675998774,true,94,0.03691315687355275,-0.024112135551657428
89,0.9179084270994291,true,75,0.024565675327929238,false,,0.93225122877258,true,69,0.9324495555547578,true,69,-0.6179075868057,false,,0.9231008200190954,true,69,-0.053842424664862096,-0.06749772375097429
90,0.9249829296411606,true,66,0.06804703142099133,false,,0.9369664594242991,true,63,0.9366312318636134,true,64,-0.6218677330094443,false,,0.9308193023881942,true,64,0.036291740740034134,-0.04790920311812966
91,0.8628044784774278,true,125,-0.02176127012933582,false,,0.9032909456056892,true,97,0.9033538147425159,true,96,-0.60531258084456,false,,0.8650699250972942,true,123,0.0590701910664435,0.028287322582400066
92,0.9100063493786857,true,71,-0.07242528958417871,false,,0.9281090804816794,true,66,0.9280694053090577,true,68,-0.6484870824476986,false,,0.9130609626211409,true,72,0.06218097931374612,0.0035032207473986695
93,0.821193801202327,true,91,-0.16156131431767803,false,,0.8915749559587678,true,82,0.8890875756897202,true,85,-0.6572982135943198,false,,0.8323382907644047,true,90,0.08751847719064065,0.015947807703955468
94,0.9214496456568887,true,80,0.1747409639045559,false,,0.9336950236658186,true,71,0.9329429168564467,true,73,-0.5878051468535402,false,,0.9240384449321457,true,80,0.030954153361859988,-0.05018865891183389
95,0.8836468774208762,true,96,-0.07845214250012954,false,,0.9119764922952383,true,83,0.9113556077349492,true,83,-0.6361680077422648,false,,0.894101938837992,true,89,-0.014382764320891767,-0.006469646712110609
96,0.8268103090806457,true,140,-0.08081912778199529,false,,0.8897416606678432,true,100,0.8893523292104054,true,103,-0.6066247825113646,false,,0.8348361082704493,true,138,-0.0030900196350937673,-0.03774113221832805
97,0.9080555939524488,true,94,0.05342314096798178,false,,0.9258526358883064,true,82,0.9263864650923844,true,82,-0.6012043134883033,false,,0.9085345815693351,true,96,-0.006140069748590568,-0.02658446223598933
98,0.9270311061739243,true,78,0.0926461692610867,false,,0.9371124970328448,true,70,0.9375370701069288,true,69,-0.6073791320120413,false,,0.9276204174162911,true,80,0.029214005895064597,-0.06520602127239468
99,0.8571967228807551,true,130,-0.07068023538240543,false,,0.9033872658269753,true,95,0.9032666033730808,true,95,-0.6164011651795561,false,,0.8552693421563987,true,136,0.023563757783184706,-0.02675619561255323
100,0.911160428538791,true,89,0.08468717678110443,false,,0.9277305517424749,true,79,0.9277250137786888,true,79,-0.595705472458668,false,,0.9046915271339472,true,98,-0.045548129644830536,-0.0005445336816515918
